complaint_text,complaint_type,location,priority
"my wifi nt wrking in hostel a, pls fix asap",Electricity,Hostel A,High
there is a water leak in hostel b,Water Supply,Hostel C,Medium
cant access lab due to it issue,IT / Network,Laboratory,High
hostel d is too noisy,Hostel,Hostel B,Medium
civil work in main building is causing disturbance,Civil / Infrastructure,Main Building,Low
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
library is too cold,Library,Library,Low
transport bus is always late,Transport,Campus (General),High
prof is nt responding to emails,General,Main Building,Medium
hostel a room is too small,Hostel,Hostel A,Low
wifi signal is weak in lab,IT / Network,Laboratory,Medium
water supply is low in hostel c,Water Supply,Hostel B,High
it issue in auditorium,IT / Network,Auditorium,Medium
sports ground is nt well maintained,Civil / Infrastructure,Sports Ground,Low
cant print in library,IT / Network,Library,Medium
hostel b is too far from main building,Hostel,Hostel B,Low
main building lift is nt working,Civil / Infrastructure,Main Building,High
library books are nt available,Library,Library,Medium
mess food is too expensive,Mess / Canteen,Mess / Canteen,Low
transport service is bad,Transport,Campus (General),Medium
general complaint about campus,General,Campus (General),Low
hostel d is too dirty,Hostel,Hostel D,Medium
wifi is slow in hostel a,IT / Network,Hostel A,Low
water supply issue in lab,Water Supply,Laboratory,High
it problem in hostel c,IT / Network,Hostel C,Medium
library is too quiet,Library,Library,Low
sports ground is awesome 🏋️,Civil / Infrastructure,Sports Ground,Low
hostel b room is too hot,Hostel,Hostel B,Medium
main building ac is nt working,Civil / Infrastructure,Main Building,High
mess food is delicious 🍴,Mess / Canteen,Mess / Canteen,Medium
transport bus is comfortable,Transport,Campus (General),Low
prof is very helpful,General,Main Building,Medium
hostel a is too crowded,Hostel,Hostel A,Low
wifi issue in library,IT / Network,Library,Medium
water leak in hostel d,Water Supply,Hostel D,High
it issue in auditorium,IT / Network,Auditorium,Medium
sports ground is well maintained,Civil / Infrastructure,Sports Ground,Low
library books are available,Library,Library,Medium
mess food is bad 🤢,Mess / Canteen,Mess / Canteen,Medium
transport service is good,Transport,Campus (General),Low
general complaint about hostel,General,Hostel A,Medium
hostel c is too noisy,Hostel,Hostel C,Low
wifi signal is strong in lab,IT / Network,Laboratory,Medium
water supply is good in hostel b,Water Supply,Hostel B,Low
it issue in main building,IT / Network,Main Building,High
library is too small,Library,Library,Medium
sports ground is dirty,Civil / Infrastructure,Sports Ground,Low
hostel d is too far from lab,Hostel,Hostel D,Medium
main building is too hot,Civil / Infrastructure,Main Building,High
mess food is expensive,Mess / Canteen,Mess / Canteen,Low
transport bus is always on time,Transport,Campus (General),Medium
prof is nt helpful,General,Main Building,Low
hostel a is too dirty,Hostel,Hostel A,Medium
wifi is slow in hostel c,IT / Network,Hostel C,Low
water supply issue in hostel a,Water Supply,Hostel A,High
it problem in library,IT / Network,Library,Medium
sports ground is awesome 🏋️,Civil / Infrastructure,Sports Ground,Low
hostel b is too crowded,Hostel,Hostel B,Medium
main building lift is working,Civil / Infrastructure,Main Building,Low
